baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000027220.2	951.077847438139	-2.22316077747183	0.124072423351602	-17.9182506266662	8.49580101093537e-72	1.13383315943361e-69
ENSMUSG00000051076.8	213.86185414346	4.72077856490173	0.263636767156891	17.9063740456671	1.05167375577098e-71	1.39454636614605e-69
ENSMUSG00000020173.17	704.992517859979	2.18492571844181	0.122035244896831	17.9040548514403	1.09640577052424e-71	1.44460189611876e-69
ENSMUSG00000021895.10	527.857435839546	2.53555744936198	0.141779923838073	17.8837551941264	1.57838939386815e-71	2.06649132921244e-69
ENSMUSG00000073722.3	562.599649350134	8.25887341429087	0.462073159438338	17.87351904259	1.896447506808e-71	2.46729013370001e-69
ENSMUSG00000026981.15	4900.63612191603	-1.67992296028318	0.0939962994189794	-17.8722244457208	1.94097913330489e-71	2.50944339697156e-69
ENSMUSG00000011179.8	2561.69790426561	1.5333978183306	0.0860833095921464	17.8129514954255	5.60734211074357e-71	7.20456390700879e-69
ENSMUSG00000042306.11	674.301087168728	8.66037450510371	0.486275884146798	17.809590784661	5.95435493781622e-71	7.60319668170779e-69
ENSMUSG00000000889.8	230.118597694116	5.19127682062152	0.292601290564572	17.7418110856756	1.99403203255853e-70	2.53058568254636e-68
ENSMUSG00000026249.10	14421.566401242	-1.90630549180303	0.107542985524768	-17.7259863346828	2.64237999739138e-70	3.3329434528072e-68
ENSMUSG00000030091.17	509.806743976348	8.11874571306679	0.458118745600939	17.7219242631449	2.84028315169616e-70	3.56085438036283e-68
ENSMUSG00000002228.7	239.431662341101	3.85885379189715	0.218331364485458	17.6742988850518	6.61577585023866e-70	8.24421320711066e-68
ENSMUSG00000025357.8	848.952686013892	2.07378240916205	0.117670968121182	17.6235688570726	1.62427104054655e-69	2.01195633202071e-67
ENSMUSG00000044641.7	280.88281525323	3.02687695371699	0.171852840773252	17.613191263511	1.95127069270615e-69	2.40261818745948e-67
ENSMUSG00000044393.15	315.976646775483	6.97251500594233	0.398034028651315	17.5173842034757	1.05568921533388e-68	1.29218858629565e-66
ENSMUSG00000018411.17	222.623216559804	5.18109375925153	0.296370921124988	17.481788495257	1.97215139296827e-68	2.39976021852597e-66
ENSMUSG00000024222.17	762.816584094907	2.10869480355476	0.120814239633794	17.4540253694145	3.20806467772664e-68	3.88082022944172e-66
ENSMUSG00000023039.17	500.674193482287	3.38312385366656	0.193872264454429	17.4502725451055	3.42594157292121e-68	4.12029228938652e-66
ENSMUSG00000036553.16	213.616890871465	3.46335449684642	0.198506301521763	17.4470758373719	3.62312415396755e-68	4.33225122826432e-66
ENSMUSG00000028392.15	269.269527903361	6.47843344796369	0.371429489034257	17.441893116263	3.96712540960473e-68	4.71631932316572e-66
ENSMUSG00000038028.9	837.486429373836	2.38071608964659	0.13660043990876	17.4283193468246	5.03027853530754e-68	5.94607667322124e-66
ENSMUSG00000041649.13	472.860524591603	3.30474783001816	0.189653266864577	17.4252090915889	5.31139419652374e-68	6.24269888348239e-66
ENSMUSG00000037465.10	1633.63635253912	1.8178884834805	0.104435002714594	17.4068888421302	7.31528369477294e-68	8.54937618700977e-66
ENSMUSG00000078670.3	299.488877287988	2.77812487791922	0.159621319178429	17.4044726119182	7.63054952852518e-68	8.86772739028493e-66
ENSMUSG00000050296.14	288.476594510886	6.65680681455373	0.382712379028769	17.3937588103293	9.19980513517694e-68	1.0631685420462e-65
ENSMUSG00000054423.14	202.532987937101	4.24770339373691	0.245490529837538	17.3029216098396	4.47127553572239e-67	5.13848920733074e-65
ENSMUSG00000092035.8	1371.63099413217	1.6334359390379	0.094457654761321	17.292785250336	5.33128938701594e-67	6.09298631269678e-65
ENSMUSG00000022596.3	1256.10866059265	2.36855824072583	0.137531971568869	17.2218736756767	1.81999611552908e-66	2.06859558493597e-64
ENSMUSG00000032420.8	1357.40851567527	2.44596195356773	0.142050378303837	17.2189752873164	1.91345984249365e-66	2.16294154654775e-64
ENSMUSG00000049044.16	223.959190195627	5.50589667118568	0.319777859701413	17.2178795502813	1.95002681368849e-66	2.19229644934565e-64
ENSMUSG00000041605.16	270.770525357517	2.97684411349018	0.173676585729761	17.1401579607405	7.44481515193641e-66	8.32451060718685e-64
ENSMUSG00000052397.8	2218.25945520613	1.91190453081391	0.111552524555078	17.1390521051805	7.58775568021726e-66	8.43872655919216e-64
ENSMUSG00000092060.4	274.31009807183	4.31428089914072	0.251913884232938	17.1260147580886	9.49394768322232e-66	1.05022353890448e-63
ENSMUSG00000014602.15	2159.03649763448	-1.76797861443024	0.103376061859321	-17.1023985885261	1.42420259410284e-65	1.56707738625592e-63
ENSMUSG00000038235.4	1182.39073511437	2.21714209034673	0.129695739481205	17.094949296064	1.61836734815837e-65	1.77129878116424e-63
ENSMUSG00000035773.6	203.497520615204	4.55937483131913	0.267584930325281	17.038982074875	4.22012863735959e-65	4.59460952591687e-63
ENSMUSG00000026202.13	1810.85050238656	2.18161877078116	0.128707246836007	16.950240366503	1.91668583729644e-64	2.07584100682273e-62
ENSMUSG00000041235.12	258.331655272039	2.95779487047887	0.174777105550205	16.9232398097429	3.03278777628675e-64	3.2675129135556e-62
ENSMUSG00000028766.10	185.319161426661	4.67863588539409	0.276520242633369	16.9196867500126	3.22139261877587e-64	3.45273200580299e-62
ENSMUSG00000074743.4	2624.32120639287	-1.55678513838021	0.0921746964997683	-16.8895065294207	5.37506817038187e-64	5.73137423569687e-62
ENSMUSG00000030411.16	265.132977550717	3.43763170340211	0.203650682554343	16.8800401760736	6.31018671313509e-64	6.69397550502115e-62
ENSMUSG00000035834.11	552.65111987961	2.84896770266963	0.168825428422894	16.8752286268938	6.84594119981604e-64	7.22526222752014e-62
ENSMUSG00000029168.14	536.59123153189	8.48364248388801	0.503041849588548	16.8646852957205	8.18368185754909e-64	8.59328136574926e-62
ENSMUSG00000001021.13	202.409387825869	5.7668914864584	0.34241652529282	16.841744076244	1.20628112293533e-63	1.26025915702224e-61
ENSMUSG00000034730.17	368.917168749039	7.41074797361987	0.440102938180928	16.8386696172732	1.27061114457623e-63	1.32079709229668e-61
ENSMUSG00000032561.15	197.105228020112	4.83740190821468	0.287898459206494	16.8024584832705	2.34134964493578e-63	2.42165793775708e-61
ENSMUSG00000029246.14	914.504491455583	2.06117990919557	0.122696984253298	16.7989451553303	2.48422706605188e-63	2.55665279046514e-61
ENSMUSG00000021696.9	310.3834563362	3.56105224602884	0.212078352516385	16.7912104360285	2.83013413969538e-63	2.89822548582864e-61
ENSMUSG00000028518.8	722.847765926203	2.60366885741714	0.155113528429243	16.7855691491463	3.1123121692782e-63	3.1714920952556e-61
ENSMUSG00000003469.9	246.044587771458	6.5190156820524	0.389647950193342	16.7305273358109	7.85398301603088e-63	7.9640927779223e-61
ENSMUSG00000049493.13	201.089731074243	4.75734938979351	0.285463710532797	16.6653385851192	2.34158858415425e-62	2.3628342171617e-60
ENSMUSG00000025558.19	2159.63899902646	1.87393483812487	0.112606720901699	16.6414120144812	3.4928370098637e-62	3.50741875660391e-60
ENSMUSG00000078695.8	447.706230798874	2.48106788656016	0.149099936170857	16.6403014667763	3.55822217384454e-62	3.55581564677044e-60
